"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
4026,62.2,62.2,37.8,"Ennetbaden AG","Ennetbaden (AG)","Ennetbaden AG","Mit 62,2 Prozent Ja hat sich Ennetbaden für den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg ausgesprochen.",,
4027,45.3,45.3,54.7,"Fislisbach AG","Fislisbach (AG)","Fislisbach AG","Keine Mehrheit für den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg in Fislisbach. 54,7 Prozent haben sie verworfen.",,
4028,54.2,54.2,45.8,"Freienwil AG","Freienwil (AG)","Freienwil AG","Mit 54,2 Prozent Ja hat sich Freienwil für den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg ausgesprochen.",,
4029,49.4,49.4,50.6,"Gebenstorf AG","Gebenstorf (AG)","Gebenstorf AG","Keine Mehrheit für den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg in Gebenstorf. 50,6 Prozent haben sie verworfen.",,
4030,45.3,45.3,54.7,"Killwangen AG","Killwangen (AG)","Killwangen AG","Keine Mehrheit für den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg in Killwangen. 54,7 Prozent haben sie verworfen.",,
4031,45.6,45.6,54.4,"Künten AG","Künten (AG)","Künten AG","Keine Mehrheit für den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg in Künten. 54,4 Prozent haben sie verworfen.",,
4032,37.3,37.3,62.7,"Mägenwil AG","Mägenwil (AG)","Mägenwil AG","Nein zum Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg in Mägenwil: 62,7 Prozent haben die Vorlage abgelehnt.",,
4033,49.5,49.5,50.5,"Mellingen AG","Mellingen (AG)","Mellingen AG","Keine Mehrheit für den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg in Mellingen. 50,5 Prozent haben sie verworfen.",,
4034,47,47,53,"Neuenhof AG","Neuenhof (AG)","Neuenhof AG","Keine Mehrheit für den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg in Neuenhof. 53 Prozent haben sie verworfen.",,
4035,49.4,49.4,50.6,"Niederrohrdorf AG","Niederrohrdorf (AG)","Niederrohrdorf AG","Nein zum Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg in Niederrohrdorf: 50,6 Prozent haben die Vorlage abgelehnt.",,
4037,45.4,45.4,54.6,"Oberrohrdorf AG","Oberrohrdorf (AG)","Oberrohrdorf AG","Nein zum Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg in Oberrohrdorf: 54,6 Prozent haben die Vorlage abgelehnt.",,
4038,50.7,50.7,49.3,"Obersiggenthal AG","Obersiggenthal (AG)","Obersiggenthal AG","50,7 Prozent der Stimmbürgerinnen und Stimmbürger von Obersiggenthal haben dem Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg zugestimmt.",,
4039,36.3,36.3,63.7,"Remetschwil AG","Remetschwil (AG)","Remetschwil AG","Remetschwil hat den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg  mit 63,7 Prozent abgelehnt.",,
4040,42.2,42.2,57.8,"Spreitenbach AG","Spreitenbach (AG)","Spreitenbach AG","Spreitenbach hat den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg  mit 57,8 Prozent abgelehnt.",,
4041,43.4,43.4,56.6,"Stetten AG","Stetten (AG)","Stetten AG","Stetten AG hat den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg  mit 56,6 Prozent abgelehnt.",,
4042,57.1,57.1,42.9,"Turgi AG","Turgi (AG)","Turgi AG","Mit 57,1 Prozent Ja hat sich Turgi für den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg ausgesprochen.",,
4044,54.7,54.7,45.3,"Untersiggenthal AG","Untersiggenthal (AG)","Untersiggenthal AG","54,7 Prozent der Stimmbürgerinnen und Stimmbürger von Untersiggenthal haben dem Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg zugestimmt.",,
4045,50,0,0,"Wettingen AG","Wettingen (AG)","Wettingen AG","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I risultati di questo comune non sono ancora noti."
4046,53.8,53.8,46.2,"Wohlenschwil AG","Wohlenschwil (AG)","Wohlenschwil AG","53,8 Prozent der Stimmbürgerinnen und Stimmbürger von Wohlenschwil haben dem Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg zugestimmt.",,
4047,49.5,49.5,50.5,"Würenlingen AG","Würenlingen (AG)","Würenlingen AG","Nein zum Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg in Würenlingen: 50,5 Prozent haben die Vorlage abgelehnt.",,
4048,48.3,48.3,51.7,"Würenlos AG","Würenlos (AG)","Würenlos AG","Würenlos hat den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg  mit 51,7 Prozent abgelehnt.",,
4049,50,0,0,"Ehrendingen AG","Ehrendingen (AG)","Ehrendingen AG","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I risultati di questo comune non sono ancora noti."
4061,50,0,0,"Arni AG","Arni (AG)","Arni AG","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I risultati di questo comune non sono ancora noti."
4062,45.3,45.3,54.7,"Berikon AG","Berikon (AG)","Berikon AG","Keine Mehrheit für den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg in Berikon. 54,7 Prozent haben sie verworfen.",,
4063,47.6,47.6,52.4,"Bremgarten AG","Bremgarten (AG)","Bremgarten AG","Nein zum Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg in Bremgarten AG: 52,4 Prozent haben die Vorlage abgelehnt.",,
4064,38.1,38.1,61.9,"Büttikon AG","Büttikon (AG)","Büttikon AG","Nein zum Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg in Büttikon: 61,9 Prozent haben die Vorlage abgelehnt.",,
4065,38.9,38.9,61.1,"Dottikon AG","Dottikon (AG)","Dottikon AG","Keine Mehrheit für den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg in Dottikon. 61,1 Prozent haben sie verworfen.",,
4066,43.8,43.8,56.2,"Eggenwil AG","Eggenwil (AG)","Eggenwil AG","Keine Mehrheit für den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg in Eggenwil. 56,2 Prozent haben sie verworfen.",,
4067,37,37,63,"Fischbach-Göslikon AG","Fischbach-Göslikon (AG)","Fischbach-Göslikon AG","Keine Mehrheit für den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg in Fischbach-Göslikon. 63 Prozent haben sie verworfen.",,
4068,37.7,37.7,62.3,"Hägglingen AG","Hägglingen (AG)","Hägglingen AG","Nein zum Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg in Hägglingen: 62,3 Prozent haben die Vorlage abgelehnt.",,
4071,42.3,42.3,57.7,"Jonen AG","Jonen (AG)","Jonen AG","Keine Mehrheit für den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg in Jonen. 57,7 Prozent haben sie verworfen.",,
4072,42.4,42.4,57.6,"Niederwil AG","Niederwil (AG)","Niederwil AG","Niederwil AG hat den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg  mit 57,6 Prozent abgelehnt.",,
4073,43.1,43.1,56.9,"Oberlunkhofen AG","Oberlunkhofen (AG)","Oberlunkhofen AG","Nein zum Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg in Oberlunkhofen: 56,9 Prozent haben die Vorlage abgelehnt.",,
4074,47.4,47.4,52.6,"Oberwil-Lieli AG","Oberwil-Lieli (AG)","Oberwil-Lieli AG","Oberwil-Lieli hat den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg  mit 52,6 Prozent abgelehnt.",,
4075,47.3,47.3,52.7,"Rudolfstetten-Friedlisberg AG","Rudolfstetten-Friedlisberg (AG)","Rudolfstetten-Friedlisberg AG","Nein zum Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg in Rudolfstetten-Friedlisberg: 52,7 Prozent haben die Vorlage abgelehnt.",,
4076,39.7,39.7,60.3,"Sarmenstorf AG","Sarmenstorf (AG)","Sarmenstorf AG","Keine Mehrheit für den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg in Sarmenstorf. 60,3 Prozent haben sie verworfen.",,
4077,43,43,57,"Tägerig AG","Tägerig (AG)","Tägerig AG","Keine Mehrheit für den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg in Tägerig. 57 Prozent haben sie verworfen.",,
4078,32.6,32.6,67.4,"Uezwil AG","Uezwil (AG)","Uezwil AG","Uezwil hat den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg  mit 67,4 Prozent abgelehnt.",,
4079,43.4,43.4,56.6,"Unterlunkhofen AG","Unterlunkhofen (AG)","Unterlunkhofen AG","Unterlunkhofen hat den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg  mit 56,6 Prozent abgelehnt.",,
4080,37.4,37.4,62.6,"Villmergen AG","Villmergen (AG)","Villmergen AG","Villmergen hat den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg  mit 62,6 Prozent abgelehnt.",,
4081,44.5,44.5,55.5,"Widen AG","Widen (AG)","Widen AG","Nein zum Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg in Widen: 55,5 Prozent haben die Vorlage abgelehnt.",,
4082,50,0,0,"Wohlen AG","Wohlen (AG)","Wohlen AG","Die Resultate dieser Gemeinde sind noch nicht bekannt.","Les résultats ne sont pas encore connus dans cette commune.","I risultati di questo comune non sono ancora noti."
4083,43,43,57,"Zufikon AG","Zufikon (AG)","Zufikon AG","Keine Mehrheit für den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg in Zufikon. 57 Prozent haben sie verworfen.",,
4084,38.7,38.7,61.3,"Islisberg AG","Islisberg (AG)","Islisberg AG","Nein zum Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg in Islisberg: 61,3 Prozent haben die Vorlage abgelehnt.",,
4091,46.5,46.5,53.5,"Auenstein AG","Auenstein (AG)","Auenstein AG","Keine Mehrheit für den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg in Auenstein. 53,5 Prozent haben sie verworfen.",,
4092,42.9,42.9,57.1,"Birr AG","Birr (AG)","Birr AG","Nein zum Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg in Birr: 57,1 Prozent haben die Vorlage abgelehnt.",,
4093,35.7,35.7,64.3,"Birrhard AG","Birrhard (AG)","Birrhard AG","Nein zum Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg in Birrhard: 64,3 Prozent haben die Vorlage abgelehnt.",,
4095,52.9,52.9,47.1,"Brugg AG","Brugg (AG)","Brugg AG","Brugg hat den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg mit 52,9 Prozent angenommen.",,
4099,37.9,37.9,62.1,"Habsburg AG","Habsburg (AG)","Habsburg AG","Nein zum Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg in Habsburg: 62,1 Prozent haben die Vorlage abgelehnt.",,
4100,39.9,39.9,60.1,"Hausen AG","Hausen (AG)","Hausen AG","Keine Mehrheit für den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg in Hausen AG. 60,1 Prozent haben sie verworfen.",,
4104,42.2,42.2,57.8,"Lupfig AG","Lupfig (AG)","Lupfig AG","Lupfig hat den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg  mit 57,8 Prozent abgelehnt.",,
4105,50.5,50.5,49.5,"Mandach AG","Mandach (AG)","Mandach AG","Mandach hat den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg mit 50,5 Prozent angenommen.",,
4106,45.1,45.1,54.9,"Mönthal AG","Mönthal (AG)","Mönthal AG","Keine Mehrheit für den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg in Mönthal. 54,9 Prozent haben sie verworfen.",,
4107,46,46,54,"Mülligen AG","Mülligen (AG)","Mülligen AG","Nein zum Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg in Mülligen: 54 Prozent haben die Vorlage abgelehnt.",,
4110,49.6,49.6,50.4,"Remigen AG","Remigen (AG)","Remigen AG","Nein zum Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg in Remigen: 50,4 Prozent haben die Vorlage abgelehnt.",,
4111,47.4,47.4,52.6,"Riniken AG","Riniken (AG)","Riniken AG","Riniken hat den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg  mit 52,6 Prozent abgelehnt.",,
4112,44.9,44.9,55.1,"Rüfenach AG","Rüfenach (AG)","Rüfenach AG","Nein zum Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg in Rüfenach: 55,1 Prozent haben die Vorlage abgelehnt.",,
4117,41.4,41.4,58.6,"Thalheim AG","Thalheim (AG)","Thalheim AG","Thalheim AG hat den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg  mit 58,6 Prozent abgelehnt.",,
4120,42.5,42.5,57.5,"Veltheim AG","Veltheim (AG)","Veltheim AG","Veltheim AG hat den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg  mit 57,5 Prozent abgelehnt.",,
4121,43.4,43.4,56.6,"Villigen AG","Villigen (AG)","Villigen AG","Keine Mehrheit für den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg in Villigen. 56,6 Prozent haben sie verworfen.",,
4122,44.9,44.9,55.1,"Villnachern AG","Villnachern (AG)","Villnachern AG","Keine Mehrheit für den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg in Villnachern. 55,1 Prozent haben sie verworfen.",,
4123,58.2,58.2,41.8,"Windisch AG","Windisch (AG)","Windisch AG","Windisch hat den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg mit 58,2 Prozent angenommen.",,
4124,44.9,44.9,55.1,"Bözberg AG","Bözberg (AG)","Bözberg AG","Keine Mehrheit für den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg in Bözberg. 55,1 Prozent haben sie verworfen.",,
4125,43.6,43.6,56.4,"Schinznach AG","Schinznach (AG)","Schinznach AG","Keine Mehrheit für den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg in Schinznach. 56,4 Prozent haben sie verworfen.",,
4131,49.5,49.5,50.5,"Beinwil am See AG","Beinwil am See (AG)","Beinwil am See AG","Beinwil am See hat den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg  mit 50,5 Prozent abgelehnt.",,
4132,44.5,44.5,55.5,"Birrwil AG","Birrwil (AG)","Birrwil AG","Nein zum Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg in Birrwil: 55,5 Prozent haben die Vorlage abgelehnt.",,
4134,28.4,28.4,71.6,"Dürrenäsch AG","Dürrenäsch (AG)","Dürrenäsch AG","Keine Mehrheit für den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg in Dürrenäsch. 71,6 Prozent haben sie verworfen.",,
4135,35.6,35.6,64.4,"Gontenschwil AG","Gontenschwil (AG)","Gontenschwil AG","Nein zum Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg in Gontenschwil: 64,4 Prozent haben die Vorlage abgelehnt.",,
4136,27.7,27.7,72.3,"Holziken AG","Holziken (AG)","Holziken AG","Keine Mehrheit für den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg in Holziken. 72,3 Prozent haben sie verworfen.",,
4137,37.2,37.2,62.8,"Leimbach AG","Leimbach (AG)","Leimbach AG","Nein zum Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg in Leimbach AG: 62,8 Prozent haben die Vorlage abgelehnt.",,
4138,33.7,33.7,66.3,"Leutwil AG","Leutwil (AG)","Leutwil AG","Leutwil hat den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg  mit 66,3 Prozent abgelehnt.",,
4139,44.2,44.2,55.8,"Menziken AG","Menziken (AG)","Menziken AG","Menziken hat den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg  mit 55,8 Prozent abgelehnt.",,
4140,40.1,40.1,59.9,"Oberkulm AG","Oberkulm (AG)","Oberkulm AG","Oberkulm hat den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg  mit 59,9 Prozent abgelehnt.",,
4141,41.3,41.3,58.7,"Reinach AG","Reinach (AG)","Reinach AG","Keine Mehrheit für den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg in Reinach AG. 58,7 Prozent haben sie verworfen.",,
4142,30.4,30.4,69.6,"Schlossrued AG","Schlossrued (AG)","Schlossrued AG","Schlossrued hat den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg  mit 69,6 Prozent abgelehnt.",,
4143,36.9,36.9,63.1,"Schmiedrued AG","Schmiedrued (AG)","Schmiedrued AG","Keine Mehrheit für den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg in Schmiedrued. 63,1 Prozent haben sie verworfen.",,
4144,41.3,41.3,58.7,"Schöftland AG","Schöftland (AG)","Schöftland AG","Keine Mehrheit für den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg in Schöftland. 58,7 Prozent haben sie verworfen.",,
4145,35.1,35.1,64.9,"Teufenthal AG","Teufenthal (AG)","Teufenthal AG","Teufenthal AG hat den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg  mit 64,9 Prozent abgelehnt.",,
4146,43.8,43.8,56.2,"Unterkulm AG","Unterkulm (AG)","Unterkulm AG","Unterkulm hat den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg  mit 56,2 Prozent abgelehnt.",,
4147,39.4,39.4,60.6,"Zetzwil AG","Zetzwil (AG)","Zetzwil AG","Zetzwil hat den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg  mit 60,6 Prozent abgelehnt.",,
4161,57.7,57.7,42.3,"Eiken AG","Eiken (AG)","Eiken AG","Eiken hat den Verpflichtungskredit über 61 Millionen Franken für eine Verdichtung des Bahnangebots der Regio-S-Bahn Stein-Säckingen–Laufenburg mit 57,7 Prozent angenommen.",,
